,session_no,src,src_city,src_region,src_country,dest,Hop_No,avg_rtt,IP_Address,City,Region_Name,Country
7,27,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,23,142.250.71.36,Chennai,Tamil Nadu,IN
0,28,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,28,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,7,203.129.218.109,Hubli,Karnataka,IN
2,28,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,3,61.1.117.54,Bengaluru,Karnataka,IN
3,28,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,26,117.216.207.115,Tanjore,Tamil Nadu,IN
4,28,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,21,142.250.160.26,Chennai,Tamil Nadu,IN
5,28,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,23,216.239.43.135,Chennai,Tamil Nadu,IN
6,28,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,23,142.250.233.143,Mountain View,California,US
7,28,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,25,142.250.71.36,Chennai,Tamil Nadu,IN
0,29,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,3,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,29,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,4,203.129.218.109,Hubli,Karnataka,IN
2,29,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,7,61.1.117.54,Bengaluru,Karnataka,IN
3,29,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,26,117.216.207.115,Tanjore,Tamil Nadu,IN
4,29,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,23,142.250.160.26,Chennai,Tamil Nadu,IN
5,29,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,20,216.239.43.135,Chennai,Tamil Nadu,IN
6,29,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,23,142.250.233.143,Mountain View,California,US
7,29,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,26,142.250.71.36,Chennai,Tamil Nadu,IN
0,30,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,30,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,4,203.129.218.109,Hubli,Karnataka,IN
2,30,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,6,61.1.117.54,Bengaluru,Karnataka,IN
3,30,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,24,117.216.207.115,Tanjore,Tamil Nadu,IN
4,30,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,24,142.250.160.26,Chennai,Tamil Nadu,IN
5,30,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,23,216.239.43.135,Chennai,Tamil Nadu,IN
6,30,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,23,142.250.233.143,Mountain View,California,US
7,30,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,23,142.250.71.36,Chennai,Tamil Nadu,IN
0,31,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,31,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,7,203.129.218.109,Hubli,Karnataka,IN
2,31,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,3,61.1.117.54,Bengaluru,Karnataka,IN
3,31,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,23,117.216.207.115,Tanjore,Tamil Nadu,IN
4,31,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,24,142.250.160.26,Chennai,Tamil Nadu,IN
5,31,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,23,216.239.43.135,Chennai,Tamil Nadu,IN
6,31,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,23,142.250.233.143,Mountain View,California,US
7,31,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,30,142.250.71.36,Chennai,Tamil Nadu,IN
0,32,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,32,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,3,203.129.218.109,Hubli,Karnataka,IN
2,32,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,6,61.1.117.54,Bengaluru,Karnataka,IN
3,32,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,26,117.216.207.115,Tanjore,Tamil Nadu,IN
4,32,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,25,142.250.160.26,Chennai,Tamil Nadu,IN
5,32,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,23,216.239.43.135,Chennai,Tamil Nadu,IN
6,32,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,26,142.250.233.143,Mountain View,California,US
7,32,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,28,142.250.71.36,Chennai,Tamil Nadu,IN
0,33,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,33,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,6,203.129.218.109,Hubli,Karnataka,IN
2,33,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,10,61.1.117.54,Bengaluru,Karnataka,IN
3,33,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,21,142.250.160.26,Chennai,Tamil Nadu,IN
4,33,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,22,216.239.43.135,Chennai,Tamil Nadu,IN
5,33,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,29,142.250.233.143,Mountain View,California,US
6,33,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,26,142.250.71.36,Chennai,Tamil Nadu,IN
0,34,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,34,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,2,6,203.129.218.109,Hubli,Karnataka,IN
2,34,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,3,3,61.1.117.54,Bengaluru,Karnataka,IN
3,34,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,4,23,117.216.207.115,Tanjore,Tamil Nadu,IN
4,34,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,5,25,142.250.160.26,Chennai,Tamil Nadu,IN
5,34,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,6,23,216.239.43.135,Chennai,Tamil Nadu,IN
6,34,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,7,31,142.250.233.143,Mountain View,California,US
7,34,10.0.16.155,Nandigāma,Andhra Pradesh,IN,google,8,22,142.250.71.36,Chennai,Tamil Nadu,IN
0,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,1,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,6,203.129.218.109,Hubli,Karnataka,IN
2,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,15,136.232.193.165,Bengaluru,Karnataka,IN
3,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,55,103.198.140.209,Singapore,Singapore,SG
5,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,54,103.198.140.209,Singapore,Singapore,SG
6,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,51,199.59.151.96,San Francisco,California,US
7,0,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,6,203.129.218.109,Hubli,Karnataka,IN
2,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,15,136.232.193.165,Bengaluru,Karnataka,IN
3,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,55,103.198.140.209,Singapore,Singapore,SG
5,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,51,103.198.140.209,Singapore,Singapore,SG
6,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,52,199.59.151.96,San Francisco,California,US
7,1,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,7,203.129.218.109,Hubli,Karnataka,IN
2,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,16,136.232.193.165,Bengaluru,Karnataka,IN
3,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,60,103.198.140.209,Singapore,Singapore,SG
5,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,54,103.198.140.209,Singapore,Singapore,SG
6,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,51,199.59.151.96,San Francisco,California,US
7,2,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,3,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,7,203.129.218.109,Hubli,Karnataka,IN
2,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,15,136.232.193.165,Bengaluru,Karnataka,IN
3,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,52,103.198.140.209,Singapore,Singapore,SG
5,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,54,103.198.140.209,Singapore,Singapore,SG
6,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,55,199.59.151.96,San Francisco,California,US
7,3,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,6,203.129.218.109,Hubli,Karnataka,IN
2,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,12,136.232.193.165,Bengaluru,Karnataka,IN
3,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,55,103.198.140.209,Singapore,Singapore,SG
5,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,51,103.198.140.209,Singapore,Singapore,SG
6,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,55,199.59.151.96,San Francisco,California,US
7,4,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,7,203.129.218.109,Hubli,Karnataka,IN
2,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,15,136.232.193.165,Bengaluru,Karnataka,IN
3,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,56,103.198.140.209,Singapore,Singapore,SG
5,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,52,103.198.140.209,Singapore,Singapore,SG
6,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,51,199.59.151.96,San Francisco,California,US
7,5,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,7,203.129.218.109,Hubli,Karnataka,IN
2,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,13,136.232.193.165,Bengaluru,Karnataka,IN
3,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,17,103.198.140.170,Singapore,Singapore,SG
4,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,55,103.198.140.209,Singapore,Singapore,SG
5,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,55,103.198.140.209,Singapore,Singapore,SG
6,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,57,199.59.151.96,San Francisco,California,US
7,6,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,13,203.129.218.109,Hubli,Karnataka,IN
2,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,13,136.232.193.165,Bengaluru,Karnataka,IN
3,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,54,103.198.140.209,Singapore,Singapore,SG
5,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,51,103.198.140.209,Singapore,Singapore,SG
6,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,56,199.59.151.96,San Francisco,California,US
7,7,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,57,104.244.42.129,San Francisco,California,US
0,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,7,203.129.218.109,Hubli,Karnataka,IN
2,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,17,136.232.193.165,Bengaluru,Karnataka,IN
3,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,21,103.198.140.170,Singapore,Singapore,SG
4,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,55,103.198.140.209,Singapore,Singapore,SG
5,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,57,103.198.140.209,Singapore,Singapore,SG
6,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,52,199.59.151.96,San Francisco,California,US
7,8,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,6,203.129.218.109,Hubli,Karnataka,IN
2,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,16,136.232.193.165,Bengaluru,Karnataka,IN
3,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,54,103.198.140.209,Singapore,Singapore,SG
5,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,51,103.198.140.209,Singapore,Singapore,SG
6,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,59,199.59.151.96,San Francisco,California,US
7,9,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,52,104.244.42.129,San Francisco,California,US
0,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,6,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,7,203.129.218.109,Hubli,Karnataka,IN
2,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,17,136.232.193.165,Bengaluru,Karnataka,IN
3,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,52,103.198.140.209,Singapore,Singapore,SG
5,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,98,103.198.140.209,Singapore,Singapore,SG
6,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,55,199.59.151.96,San Francisco,California,US
7,10,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,3,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,7,203.129.218.109,Hubli,Karnataka,IN
2,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,15,136.232.193.165,Bengaluru,Karnataka,IN
3,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,22,103.198.140.170,Singapore,Singapore,SG
4,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,54,103.198.140.209,Singapore,Singapore,SG
5,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,51,103.198.140.209,Singapore,Singapore,SG
6,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,55,199.59.151.96,San Francisco,California,US
7,11,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,3,203.129.218.109,Hubli,Karnataka,IN
2,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,14,136.232.193.165,Bengaluru,Karnataka,IN
3,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,17,103.198.140.170,Singapore,Singapore,SG
4,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,55,103.198.140.209,Singapore,Singapore,SG
5,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,85,103.198.140.209,Singapore,Singapore,SG
6,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,58,199.59.151.96,San Francisco,California,US
7,12,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,6,203.129.218.109,Hubli,Karnataka,IN
2,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,15,136.232.193.165,Bengaluru,Karnataka,IN
3,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,21,103.198.140.170,Singapore,Singapore,SG
4,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,55,103.198.140.209,Singapore,Singapore,SG
5,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,52,103.198.140.209,Singapore,Singapore,SG
6,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,52,199.59.151.96,San Francisco,California,US
7,13,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,54,104.244.42.129,San Francisco,California,US
0,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,7,203.129.218.109,Hubli,Karnataka,IN
2,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,15,136.232.193.165,Bengaluru,Karnataka,IN
3,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,58,103.198.140.209,Singapore,Singapore,SG
5,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,52,103.198.140.209,Singapore,Singapore,SG
6,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,55,199.59.151.96,San Francisco,California,US
7,14,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,4,203.129.218.109,Hubli,Karnataka,IN
2,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,20,136.232.193.165,Bengaluru,Karnataka,IN
3,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,54,103.198.140.209,Singapore,Singapore,SG
5,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,55,103.198.140.209,Singapore,Singapore,SG
6,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,54,199.59.151.96,San Francisco,California,US
7,15,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,2,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,6,203.129.218.109,Hubli,Karnataka,IN
2,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,15,136.232.193.165,Bengaluru,Karnataka,IN
3,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,26,103.198.140.170,Singapore,Singapore,SG
4,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,52,103.198.140.209,Singapore,Singapore,SG
5,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,54,103.198.140.209,Singapore,Singapore,SG
6,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,55,199.59.151.96,San Francisco,California,US
7,16,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,11,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,5,203.129.218.109,Hubli,Karnataka,IN
2,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,15,136.232.193.165,Bengaluru,Karnataka,IN
3,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,55,103.198.140.209,Singapore,Singapore,SG
5,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,65,103.198.140.209,Singapore,Singapore,SG
6,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,55,199.59.151.96,San Francisco,California,US
7,17,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,7,203.129.218.109,Hubli,Karnataka,IN
2,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,12,136.232.193.165,Bengaluru,Karnataka,IN
3,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,17,103.198.140.170,Singapore,Singapore,SG
4,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,52,103.198.140.209,Singapore,Singapore,SG
5,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,54,103.198.140.209,Singapore,Singapore,SG
6,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,55,199.59.151.96,San Francisco,California,US
7,18,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,54,104.244.42.129,San Francisco,California,US
0,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,6,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,7,203.129.218.109,Hubli,Karnataka,IN
2,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,15,136.232.193.165,Bengaluru,Karnataka,IN
3,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,20,103.198.140.170,Singapore,Singapore,SG
4,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,60,103.198.140.209,Singapore,Singapore,SG
5,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,54,103.198.140.209,Singapore,Singapore,SG
6,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,51,199.59.151.96,San Francisco,California,US
7,19,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,52,104.244.42.129,San Francisco,California,US
0,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,4,203.129.246.53,Nandigāma,Andhra Pradesh,IN
1,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,2,6,203.129.218.109,Hubli,Karnataka,IN
2,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,3,12,136.232.193.165,Bengaluru,Karnataka,IN
3,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,4,17,103.198.140.170,Singapore,Singapore,SG
4,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,5,54,103.198.140.209,Singapore,Singapore,SG
5,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,6,54,103.198.140.209,Singapore,Singapore,SG
6,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,7,56,199.59.151.96,San Francisco,California,US
7,20,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,8,53,104.244.42.129,San Francisco,California,US
0,21,10.0.16.155,Nandigāma,Andhra Pradesh,IN,twitter,1,5,203.129.246.53,Nandigāma,Andhra Pradesh,IN
